LPS,[M-H]-,[M-C3H6NO2-H]-,[C3H8O6P-H2O-H]-,[PO3]-,[FA-CH2-H]- SN1 -CH3 loss
LPS(2:0)-H,300.049,213.017,152.9958,78.95906,59.01385
LPS(3:0)-H,314.0646,227.0326,152.9958,78.95906,73.0295
LPS(4:0)-H,328.0803,241.0483,152.9958,78.95906,87.04515
LPS(5:0)-H,342.0959,255.0639,152.9958,78.95906,101.0608
LPS(6:0)-H,356.1116,269.0796,152.9958,78.95906,115.0764
LPS(7:0)-H,370.1272,283.0952,152.9958,78.95906,129.0921
LPS(8:0)-H,384.1429,297.1109,152.9958,78.95906,143.1078
LPS(9:0)-H,398.1585,311.1265,152.9958,78.95906,157.1234
LPS(10:0)-H,412.1742,325.1422,152.9958,78.95906,171.1391
LPS(11:0)-H,426.1898,339.1578,152.9958,78.95906,185.1547
LPS(12:0)-H,440.2055,353.1735,152.9958,78.95906,199.1703
LPS(13:0)-H,454.2211,367.1891,152.9958,78.95906,213.186
LPS(13:1)-H,452.2055,365.1735,152.9958,78.95906,211.1703
LPS(14:0)-H,468.2368,381.2048,152.9958,78.95906,227.2016
LPS(14:1)-H,466.2211,379.1891,152.9958,78.95906,225.186
LPS(15:0)-H,482.2524,395.2204,152.9958,78.95906,241.2173
LPS(15:1)-H,480.2368,393.2048,152.9958,78.95906,239.2016
LPS(16:0)-H,496.2681,409.2361,152.9958,78.95906,255.233
LPS(16:1)-H,494.2524,407.2204,152.9958,78.95906,253.2173
LPS(16:2)-H,492.2368,405.2048,152.9958,78.95906,251.2016
LPS(16:3)-H,490.2211,403.1891,152.9958,78.95906,249.186
LPS(16:4)-H,488.2055,401.1735,152.9958,78.95906,247.1703
LPS(17:0)-H,510.2838,423.2517,152.9958,78.95906,269.2486
LPS(17:1)-H,508.2681,421.2361,152.9958,78.95906,267.2329
LPS(17:2)-H,506.2524,419.2204,152.9958,78.95906,265.2173
LPS(18:0)-H,524.2994,437.2674,152.9958,78.95906,283.2643
LPS(18:1)-H,522.2838,435.2517,152.9958,78.95906,281.2486
LPS(18:2)-H,520.2681,433.2361,152.9958,78.95906,279.2329
LPS(18:3)-H,518.2524,431.2204,152.9958,78.95906,277.2173
LPS(18:4)-H,516.2368,429.2048,152.9958,78.95906,275.2017
LPS(18:5)-H,514.2211,427.1891,152.9958,78.95906,273.186
LPS(19:0)-H,538.3151,451.283,152.9958,78.95906,297.2799
LPS(19:1)-H,536.2994,449.2674,152.9958,78.95906,295.2643
LPS(19:2)-H,534.2838,447.2517,152.9958,78.95906,293.2486
LPS(20:0)-H,552.3307,465.2986,152.9958,78.95906,311.2956
LPS(20:1)-H,550.3151,463.283,152.9958,78.95906,309.2799
LPS(20:2)-H,548.2994,461.2674,152.9958,78.95906,307.2643
LPS(20:3)-H,546.2838,459.2517,152.9958,78.95906,305.2486
LPS(20:4)-H,544.2681,457.2361,152.9958,78.95906,303.2329
LPS(20:5)-H,542.2524,455.2204,152.9958,78.95906,301.2173
LPS(21:0)-H,566.3463,479.3143,152.9958,78.95906,325.3112
LPS(21:1)-H,564.3307,477.2986,152.9958,78.95906,323.2956
LPS(21:2)-H,562.3151,475.283,152.9958,78.95906,321.2799
LPS(22:0)-H,580.362,493.33,152.9958,78.95906,339.3268
LPS(22:1)-H,578.3463,491.3143,152.9958,78.95906,337.3112
LPS(22:2)-H,576.3307,489.2986,152.9958,78.95906,335.2956
LPS(22:3)-H,574.3151,487.283,152.9958,78.95906,333.2799
LPS(22:4)-H,572.2994,485.2674,152.9958,78.95906,331.2643
LPS(22:5)-H,570.2838,483.2517,152.9958,78.95906,329.2486
LPS(22:6)-H,568.2681,481.2361,152.9958,78.95906,327.2329
LPS(23:0)-H,594.3776,507.3456,152.9958,78.95906,353.3425
LPS(24:0)-H,608.3933,521.3613,152.9958,78.95906,367.3582
LPS(24:1)-H,606.3776,519.3456,152.9958,78.95906,365.3425
LPS(24:2)-H,604.362,517.33,152.9958,78.95906,363.3268
LPS(24:4)-H,600.3307,513.2986,152.9958,78.95906,359.2956
LPS(25:0)-H,622.4089,535.3769,152.9958,78.95906,381.3738
LPS(26:0)-H,636.4246,549.3926,152.9958,78.95906,395.3894
LPS(26:1)-H,634.4089,547.3769,152.9958,78.95906,393.3738
LPS(26:2)-H,632.3933,545.3613,152.9958,78.95906,391.3582
LPS(26:4)-H,628.362,541.33,152.9958,78.95906,387.3268
LPS(27:0)-H,650.4402,563.4082,152.9958,78.95906,409.4051
