LSM,[M+H]+,M+H-H2O,M+H-H2O-PC,PC head,,,,,
LSM(d8:0)+H,327.20432,309.19320,126.12715,184.07332,,,,,
LSM(d10:0)+H,355.23562,337.22450,154.15845,184.07332,,,,,
LSM(d12:0)+H,383.26692,365.25580,182.18975,184.07332,,,,,
LSM(d13:0)+H,397.28257,379.27145,196.20540,184.07332,,,,,
LSM(d14:0)+H,411.29822,393.28710,210.22105,184.07332,,,,,
LSM(d14:1)+H,409.28257,391.27145,208.20540,184.07332,,,,,
LSM(d15:0)+H,425.31387,407.30275,224.23670,184.07332,,,,,
LSM(d15:1)+H,423.29822,405.28710,222.22105,184.07332,,,,,
LSM(d16:0)+H,439.32952,421.31840,238.25235,184.07332,,,,,
LSM(d16:1)+H,437.31387,419.30275,236.23670,184.07332,,,,,
LSM(d17:0)+H,453.34517,435.33405,252.26800,184.07332,,,,,
LSM(d17:1)+H,451.32952,433.31840,250.25235,184.07332,,,,,
LSM(d17:2)+H,449.31387,431.30275,248.23670,184.07332,,,,,
LSM(d18:0)+H,467.36082,449.34970,266.28365,184.07332,,,,,
LSM(d18:1)+H,465.34517,447.33405,264.26800,184.07332,,,,,
LSM(d18:2)+H,463.32952,445.31840,262.25235,184.07332,,,,,
LSM(d18:3)+H,461.31387,443.30275,260.23670,184.07332,,,,,
LSM(d18:4)+H,459.29822,441.28710,258.22105,184.07332,,,,,
LSM(d19:0)+H,481.37646,463.36534,280.29929,184.07332,,,,,
LSM(d19:1)+H,479.36082,461.34970,278.28365,184.07332,,,,,
LSM(d20:0)+H,495.39211,477.38099,294.31494,184.07332,,,,,
LSM(d20:1)+H,493.37646,475.36534,292.29929,184.07332,,,,,
LSM(d20:2)+H,491.36082,473.34970,290.28365,184.07332,,,,,
LSM(d20:3)+H,489.34517,471.33405,288.26800,184.07332,,,,,
LSM(d20:4)+H,487.32952,469.31840,286.25235,184.07332,,,,,
LSM(d20:5)+H,485.31387,467.30275,284.23670,184.07332,,,,,
LSM(d21:0)+H,509.40776,491.39664,308.33059,184.07332,,,,,
LSM(d22:0)+H,523.42341,505.41229,322.34624,184.07332,,,,,
LSM(d22:1)+H,521.40776,503.39664,320.33059,184.07332,,,,,
LSM(d22:2)+H,519.39211,501.38099,318.31494,184.07332,,,,,
LSM(d22:3)+H,517.37646,499.36534,316.29929,184.07332,,,,,
LSM(d22:4)+H,515.36082,497.34970,314.28365,184.07332,,,,,
LSM(d22:5)+H,513.34517,495.33405,312.26800,184.07332,,,,,
LSM(d22:6)+H,511.32952,493.31840,310.25235,184.07332,,,,,
LSM(d23:0)+H,537.43906,519.42794,336.36189,184.07332,,,,,
LSM(d24:0)+H,551.45471,533.44359,350.37754,184.07332,,,,,
LSM(d24:1)+H,549.43906,531.42794,348.36189,184.07332,,,,,
LSM(d25:0)+H,565.47036,547.45924,364.39319,184.07332,,,,,
LSM(d26:0)+H,579.48601,561.47489,378.40884,184.07332,,,,,
